experiment_id,target_id,target_column,model_id,model_label,combination_id,branches,branch_count,feature_count,oof_folds,rows,groups,records,complete_case_rows,balanced_accuracy_group_bootstrap_ci_low,balanced_accuracy_group_bootstrap_ci_high,class_0,class_1,prevalence,accuracy,balanced_accuracy,f1,precision,npv,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,mcc,tn,fp,fn,tp,errors,roc_auc,average_precision,group_macro_accuracy,group_macro_sensitivity,group_macro_specificity,group_macro_balanced_accuracy,groups_with_positive_cases,groups_with_negative_cases,rank_within_target
seizure__B2+B3__hist_gradient_boosting,seizure,target_seizure_binary,hist_gradient_boosting,Histogram gradient boosting,B2+B3,B2+B3,2,29,3,11346,3,9,6821,0.4723289196331927,0.5257134079486669,10190,1156,0.1018861272695223,0.7768376520359598,0.48386623020737474,0.09571428571428571,0.08150851581508516,0.8946608946608947,0.11591695501730104,0.8518155053974484,0.1481844946025515,0.884083044982699,-0.027730028683832564,8680,1510,1022,134,2532,0.5917581097554764,0.12004431490134049,0.8096687850216298,0.09779925116684618,0.905009318478985,0.5014042848229157,3,3,69
seizure__B2+B4__random_forest,seizure,target_seizure_binary,random_forest,Random forest,B2+B4,B2+B4,2,24,3,11346,3,9,9714,0.49583802816901407,0.5076068719633682,10190,1156,0.1018861272695223,0.8906222457253657,0.49966382673833837,0.01586042823156225,0.09523809523809523,0.8980517747531358,0.00865051903114187,0.9906771344455348,0.009322865554465163,0.9913494809688581,-0.002124036859953961,10095,95,1146,10,1241,0.6164815732908646,0.13641992619094512,0.8807432505373584,0.01128358208955224,0.9910130179987027,0.5011483000441275,3,3,70
seizure__B2+B3+B4__random_forest,seizure,target_seizure_binary,random_forest,Random forest,B2+B3+B4,B2+B3+B4,3,37,3,11346,3,9,6813,0.4984788732394366,0.5022997931968908,10190,1156,0.1018861272695223,0.8885950995945707,0.5004525605196763,0.023183925811437404,0.10869565217391304,0.898197715917202,0.012975778546712802,0.9879293424926399,0.012070657507360158,0.9870242214532872,0.002497865587110405,10067,123,1141,15,1264,0.6250261043631214,0.13522395361652795,0.8734849504822018,0.017502487562189056,0.9815304969533956,0.4995164922577923,3,3,71
seizure__B4__logistic_regression,seizure,target_seizure_binary,logistic_regression,Regularized logistic regression,B4,B4,1,8,3,11346,3,9,11161,0.4692579258275368,0.5253338152392657,10190,1156,0.1018861272695223,0.6536224219989424,0.5130514175305867,0.16525063721325403,0.10951576576576577,0.9015909674108289,0.3365051903114187,0.6895976447497547,0.31040235525024534,0.6634948096885813,0.017026955810628953,7027,3163,767,389,3930,0.5445136693481295,0.1156575124231264,0.6071173102774957,0.34687808380776525,0.6348133767560136,0.4908457302818894,3,3,72
seizure__B4__linear_svm,seizure,target_seizure_binary,linear_svm,Linear support-vector machine,B4,B4,1,8,3,11346,3,9,11161,0.47364902653011287,0.5211537628111599,10190,1156,0.1018861272695223,0.656795346377578,0.5121336475478028,0.16401889222842422,0.10908052541404911,0.9013258541560428,0.3304498269896194,0.6938174681059862,0.30618253189401373,0.6695501730103807,0.01589133990273643,7070,3120,774,382,3894,0.5419502633357216,0.11448801888537681,0.6116903646906465,0.34028701851566906,0.6410717313048164,0.4906793749102427,3,3,73
seizure__B4__extra_trees,seizure,target_seizure_binary,extra_trees,Extremely randomized trees,B4,B4,1,8,3,11346,3,9,11161,0.4739894366197183,0.49837376836869096,10190,1156,0.1018861272695223,0.8613608320112816,0.48375680411285915,0.013793103448275862,0.025056947608200455,0.8950215457962776,0.009515570934256055,0.9579980372914623,0.04200196270853778,0.990484429065744,-0.050954502985045065,9762,428,1145,11,1573,0.541447701287985,0.10607464634313192,0.8613466336102144,0.008103092783505154,0.9705449767403836,0.4893240347619444,3,3,74
seizure__B4__random_forest,seizure,target_seizure_binary,random_forest,Random forest,B4,B4,1,8,3,11346,3,9,11161,0.48345800272641476,0.4937605633802817,10190,1156,0.1018861272695223,0.8596862330336682,0.4881929328909882,0.030450669914738125,0.051440329218107,0.8958563535911602,0.02162629757785467,0.9547595682041217,0.04524043179587831,0.9783737024221453,-0.03527808393148693,9729,461,1131,25,1592,0.5464248058514521,0.1061990978205718,0.8491995555763109,0.019744883828281275,0.9548232154341587,0.48728404963122,3,3,75
signal_unusable__B2__linear_svm,signal_unusable,target_signal_unusable_binary,linear_svm,Linear support-vector machine,B2,B2,1,16,5,4877,15,18,3866,0.8937329731372171,0.9959976703506188,4221,656,0.1345089194176748,0.9731392249333607,0.9535828407324585,0.902746844840386,0.8798842257597684,0.9885332059245103,0.926829268292683,0.9803364131722341,0.019663586827765932,0.07317073170731707,0.887580132275324,4138,83,48,608,131,0.9835155667654758,0.9594706339939469,0.967897284873473,0.9615788148396843,0.9788814753000203,0.9702301450698523,7,15,1
signal_unusable__B1+B2+B3+B4__linear_svm,signal_unusable,target_signal_unusable_binary,linear_svm,Linear support-vector machine,B1+B2+B3+B4,B1+B2+B3+B4,4,52,5,4877,15,18,1872,0.8670443802207741,0.9976632963852246,4221,656,0.1345089194176748,0.9807258560590527,0.9463783723658132,0.9262166405023547,0.9546925566343042,0.9845034045550599,0.899390243902439,0.9933665008291874,0.006633499170812604,0.10060975609756098,0.9156820021036275,4193,28,66,590,94,0.9900031636243867,0.9651185376711179,0.9785619499838092,0.9452954507302334,0.9937297425910482,0.9695125966606408,7,15,2
signal_unusable__B1+B2+B3+B4__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B1+B2+B3+B4,B1+B2+B3+B4,4,52,5,4877,15,18,1872,0.8843547041856022,0.9962123668592541,4221,656,0.1345089194176748,0.9743694894402296,0.951718613668013,0.9062265566391597,0.8921713441654358,0.9876190476190476,0.9207317073170732,0.9827055200189528,0.017294479981047144,0.07926829268292683,0.8915354127518713,4148,73,52,604,125,0.9952105038107951,0.9770738976345918,0.9697477157719835,0.9573191203625987,0.9817050215701197,0.9695120709663592,7,15,3
